beat_index;bar;beat_in_bar;time_s;strength;strength_norm;accent;section;active_line_id;nearest_line_id;nearest_line_offset_ms
1;1;2;0.000000;0.000000;0.0000;light;intro_spoken;001;001;0
2;1;3;0.371519;15.536525;0.8529;strong;intro_spoken;001;002;-20
3;1;4;0.766259;9.489100;0.4566;light;intro_spoken;002;002;374
4;1;1;1.207438;17.899736;1.0000;strong;intro_spoken;002;002;815
5;1;2;1.602177;4.808045;0.1499;light;intro_spoken;002;002;1210
6;1;3;2.066576;1.926804;0.0000;light;intro_spoken;002;003;-994
7;1;4;2.507755;0.311098;0.0000;light;intro_spoken;002;003;-553
8;2;1;2.948934;0.000000;0.0000;strong;intro_spoken;002;003;-112
9;2;2;3.390113;18.511988;1.0000;strong;intro_spoken;003;003;329
10;2;3;3.808073;3.803233;0.0840;light;intro_spoken;003;003;747
11;2;4;4.226032;1.162889;0.0000;light;intro_spoken;003;003;1165
12;3;1;4.643991;2.800340;0.0183;strong;intro_spoken;003;004;-1556
13;3;2;5.085170;4.045065;0.0999;light;intro_spoken;003;004;-1115
14;3;3;5.503129;3.941652;0.0931;light;intro_spoken;003;004;-697
15;3;4;5.944308;2.316723;0.0000;light;intro_spoken;003;004;-256
16;4;1;6.385488;13.883972;0.7446;strong;intro_spoken;004;004;185
17;4;2;6.849887;6.426175;0.2559;light;intro_spoken;004;004;650
18;4;3;7.267846;0.250406;0.0000;light;intro_spoken;004;004;1068
19;4;4;7.662585;0.000000;0.0000;light;intro_spoken;004;004;1463
20;5;1;8.057324;10.484682;0.5219;strong;intro_spoken;004;005;-1603
21;5;2;8.428844;5.502768;0.1954;light;intro_spoken;004;005;-1231
22;5;3;8.870023;9.435327;0.4531;light;intro_spoken;004;005;-790
23;5;4;9.311202;3.327306;0.0528;light;intro_spoken;004;005;-349
24;6;1;9.752381;8.927409;0.4198;strong;intro_spoken;005;005;92
25;6;2;10.193560;3.654142;0.0743;light;intro_spoken;005;005;534
26;6;3;10.634739;11.533114;0.5906;medium;intro_spoken;005;005;975
27;6;4;11.075918;1.496495;0.0000;light;intro_spoken;005;005;1416
28;7;1;11.540317;3.829704;0.0858;strong;intro_spoken;005;006;-1580
29;7;2;11.958277;16.550571;0.9194;strong;intro_spoken;005;006;-1162
30;7;3;12.399456;21.097839;1.0000;strong;intro_spoken;005;006;-721
31;7;4;12.863855;22.368792;1.0000;strong;intro_spoken;005;006;-256
32;8;1;13.235374;3.638949;0.0733;strong;intro_spoken;006;006;115
33;8;2;13.653333;17.120152;0.9567;strong;intro_spoken;006;006;533
34;8;3;14.048073;6.382090;0.2530;light;intro_spoken;006;006;928
35;8;4;14.442812;9.406265;0.4512;light;intro_spoken;006;006;1323
36;9;1;14.883991;9.500955;0.4574;strong;intro_spoken;006;007;-1539
37;9;2;15.348390;0.000000;0.0000;light;intro_spoken;006;007;-1075
38;9;3;15.789569;8.010740;0.3598;light;intro_spoken;006;007;-633
39;9;4;16.207528;0.000000;0.0000;light;intro_spoken;006;007;-215
