id;section;start_s;end_s;duration_s;lyric_or_beat;camera;motion_hint;cut;playback_speed;crop_zoom;saturation;contrast;brightness;transition_in;transition_s;fade_out_s;emphasis
001;intro_spoken;0.000;0.392;0.392;[Intro - Spoken playful MC voice];wide establishing;slow push in;hard;0.94;1.01;1.02;1.01;0.0;none;0.0;0.0;soft
002;intro_spoken;0.392;3.061;2.668;Atenção, atenção!;medium close;flash and push;hard;1.12;1.035;1.02;1.01;0.0;flash;0.1;0.0;attention
003;intro_spoken;3.061;6.200;3.139;Abriu o portal da canção!;wide hero;spiral zoom;hard;1.04;1.02;1.02;1.01;0.0;none;0.0;0.0;travel
004;intro_spoken;6.200;9.660;3.460;Dandi chegou!;hero full body;bounce zoom;hard;1.12;1.035;1.02;1.01;0.0;none;0.0;0.0;beat
005;intro_spoken;9.660;13.120;3.460;Dragãozinho voou!;upward shot;pan up;hard;1.04;1.02;1.02;1.01;0.0;none;0.0;0.0;travel
006;intro_spoken;13.120;16.423;3.303;Fantasminha afinou!;medium close;gentle wobble;hard;1.0;1.0;1.02;1.01;0.0;none;0.0;0.0;none
007;intro_spoken;16.423;20.460;4.037;E agora... todo mundo no quack!;group medium;quick push;hard;1.12;1.04;1.02;1.01;0.0;flash;0.08;0.0;group_hit
008;intro_sung;20.460;20.878;0.418;[Intro - Sung];wide establishing;soft dissolve;hard;0.94;1.01;1.02;1.01;0.0;none;0.0;0.0;soft
009;intro_sung;20.878;24.219;3.341;Vem chegando de repente;medium full;side pan;hard;1.04;1.02;1.02;1.01;0.0;none;0.0;0.0;travel
010;intro_sung;24.219;27.560;3.341;todo mundo fica contente;reaction shot;push to crowd;hard;1.04;1.03;1.02;1.01;0.0;none;0.0;0.0;push
011;intro_sung;27.560;30.560;3.000;Vem chegando de repente;medium;spin pan;hard;1.04;1.02;1.02;1.01;0.0;none;0.0;0.0;travel
012;intro_sung;30.560;33.560;3.000;todo mundo fica contente;group shot;arc pan;hard;1.04;1.02;1.02;1.01;0.0;none;0.0;0.0;travel
013;intro_sung;33.560;37.560;4.000;Tem magia pelo ar;wide upward;tilt up;hard;1.0;1.0;1.02;1.01;0.0;none;0.0;0.0;none
014;intro_sung;37.560;41.560;4.000;tem estrelinha a brilhar;close;twinkle pulse;hard;1.0;1.0;1.02;1.01;0.0;none;0.0;0.0;none
015;intro_sung;41.560;45.141;3.581;Quando o Dandi pega o alaúde;medium hero;slow push;hard;0.94;1.01;1.02;1.01;0.0;none;0.0;0.0;soft
016;intro_sung;45.141;48.560;3.419;ninguém consegue parar;dance circle;rhythm cuts;hard;1.0;1.0;1.02;1.01;0.0;none;0.0;0.0;none
017;verse_1;48.560;48.754;0.194;[Verse 1 - Playful male vocal];wide;quick cut;hard;1.28;1.035;1.02;1.01;0.0;none;0.0;0.0;beat
018;verse_1;48.754;50.304;1.550;Lá no reino colorido;wide establishing;slow pan;hard;1.1;1.02;1.02;1.01;0.0;none;0.0;0.0;travel
019;verse_1;50.304;51.855;1.550;começou uma confusão;wide comedy;shaky bounce;hard;1.28;1.035;1.02;1.01;0.0;none;0.0;0.0;beat
020;verse_1;51.855;53.560;1.705;Não era susto, era música;medium;soft push;hard;0.94;1.01;1.02;1.01;0.0;none;0.0;0.0;soft
021;verse_1;53.560;55.560;2.000;chamando pro refrão;wide path;forward pan;hard;1.1;1.02;1.02;1.01;0.0;none;0.0;0.0;travel
022;verse_1;55.560;57.560;2.000;Tem fantasma pequenino;close;small bounce;hard;1.12;1.02;1.02;1.01;0.0;none;0.0;0.0;beat
023;verse_1;57.560;59.560;2.000;fazendo uuu no coral;medium group;wave pan;hard;1.1;1.02;1.02;1.01;0.0;none;0.0;0.0;travel
024;verse_1;59.560;61.310;1.750;Tem dragão batendo asa;medium upward;wing flutter;hard;1.0;1.0;1.02;1.01;0.0;none;0.0;0.0;none
